genotype	Flowering_date	Flowering_date_log10	Plant_height	Plant_height_log10	Plant_width	Plant_width_log10	Stem_number	Stem_number_log10	Fresh_weight	Fresh_weight_log10
Aa3506_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa3506_2	80	1.903089987	30	1.477121255	20	1.301029996	9	0.954242509	50.9	1.706717782
Aa3506_3	76.5	1.883661435	32	1.505149978	50	1.698970004	34	1.531478917	94.7	1.976349979
Aa3506_4	69.5	1.841984805	33	1.51851394	45	1.653212514	15	1.176091259	74.8	1.873901598
Aa3506_5	62.5	1.795880017	25	1.397940009	55	1.740362689	69	1.838849091	105.2	2.02201574
Aa3506_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa3506_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa3507_1	59	1.770852012	38	1.579783597	52	1.716003344	4	0.602059991	18.3	1.26245109
Aa3507_2	52	1.716003344	34	1.531478917	50	1.698970004	8	0.903089987	50.8	1.705863712
Aa3507_3	45	1.653212514	27	1.431363764	60	1.77815125	26	1.414973348	105.7	2.024074987
Aa3507_4	59	1.770852012	26	1.414973348	52	1.716003344	29	1.462397998	979	2.990782692
Aa3507_5	59	1.770852012	31	1.491361694	45	1.653212514	5	0.698970004	52	1.716003344
Aa3507_6	59	1.770852012	26	1.414973348	24	1.380211242	78	1.892094603	309.4	2.490520309
Aa3507_7	59	1.770852012	30	1.477121255	40	1.602059991	5	0.698970004	26.8	1.428134794
Aa3507_8	55.5	1.744292983	22	1.342422681	50	1.698970004	40	1.602059991	69.5	1.841984805
Aa4000_1	45	1.653212514	28	1.447158031	59	1.770852012	5	0.698970004	42.1	1.624282096
Aa4000_2	41.5	1.618048097	20	1.301029996	48	1.681241237	9	0.954242509	23.6	1.372912003
Aa4000_3	55.5	1.744292983	12	1.079181246	50	1.698970004	74	1.86923172	140.1	2.146438135
Aa4000_4	48.5	1.685741739	15	1.176091259	55	1.740362689	30	1.477121255	27.8	1.444044796
Aa4000_5	45	1.653212514	42	1.62324929	95	1.977723605	63	1.799340549	275.5	2.440121603
Aa4000_6	59	1.770852012	31	1.491361694	75	1.875061263	32	1.505149978	304.2541616	2.107640136
Aa4000_7	59	1.770852012	30	1.477121255	75	1.875061263	22	1.342422681	45.6	1.658964843
Aa4000_8	55.5	1.744292983	26	1.414973348	71	1.851258349	31	1.491361694	64.8	1.811575006
Aa4013_1	100	2	43	1.633468456	20	1.301029996	61	1.785329835	829.9	2.919025765
Aa4013_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4013_3	100	2	38	1.579783597	30	1.477121255	28	1.447158031	204.6	2.310905629
Aa4013_4	100	2	41	1.612783857	11	1.041392685	20	1.301029996	223	2.348304863
Aa4013_5	100	2	45	1.653212514	35	1.544068044	76	1.880813592	942.3	2.974189191
Aa4013_6	100	2	46	1.662757832	17	1.230448921	34	1.531478917	701.3	2.845903839
Aa4013_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4013_8	100	2	57	1.755874856	25	1.397940009	52	1.716003344	899	2.953759692
Aa4031_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4031_2	48.5	1.685741739	55	1.740362689	60	1.77815125	55	1.740362689	273	2.436162647
Aa4031_3	45	1.653212514	35	1.544068044	50	1.698970004	7	0.84509804	24.2	1.383815366
Aa4031_4	100	2	56	1.748188027	80	1.903089987	43	1.633468456	667	2.824125834
Aa4031_5	69.5	1.841984805	30	1.477121255	50	1.698970004	26	1.414973348	54	1.73239376
Aa4031_6	66	1.819543936	38	1.579783597	60	1.77815125	14	1.146128036	29.9	1.475671188
Aa4031_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4031_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4038_1	100	2	37	1.568201724	30	1.477121255	51	1.707570176	156.7	2.195068996
Aa4038_2	100	2	50	1.698970004	60	1.77815125	37	1.568201724	296.7	2.472317546
Aa4038_3	100	2	36	1.556302501	45	1.653212514	54	1.73239376	382.8	2.582971929
Aa4038_4	100	2	40	1.602059991	50	1.698970004	55	1.740362689	368.8	2.566790912
Aa4038_5	100	2	45	1.653212514	65	1.812913357	47	1.672097858	339.4	2.530711838
Aa4038_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4038_7	100	2	15	1.176091259	12	1.079181246	2	0.301029996	1	0
Aa4038_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4042_1	69.5	1.841984805	25	1.397940009	5	0.698970004	2	0.301029996	1.3	0.113943352
Aa4042_2	45	1.653212514	50	1.698970004	60	1.77815125	50	1.698970004	189.5	2.277609214
Aa4042_3	69.5	1.841984805	60	1.77815125	90	1.954242509	11	1.041392685	46	1.662757832
Aa4042_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4042_5	45	1.653212514	45	1.653212514	40	1.602059991	22	1.342422681	72.7	1.861534411
Aa4042_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4042_7	66	1.819543936	45	1.653212514	55	1.740362689	23	1.361727836	92.7	1.967079734
