Sample	Dose	Relative liver weight	C10:0_(Capric)	C12:0_(Lauric)	C13:0_(Tridecanoic)	C14:0_(Myristic)	C15:0_(Pentadecanoic)	C15:1_(10-Pentadecenoic)	C16:0_(Palmitic)	C16:1_(Palmitoleic)	C17:0_(Heptadecanoic)	C17:1_(10-Heptadecenoic)	C18:0_(Stearic)	C18:1_(Oleic)	C18:1_(Elaidic)	C18:2_(Linoleic)	C18:2_(Linolelaidic)	C18:2_(g-Linoleic)	C18:3_(a-Linoleic) n3	C20:0_(Arachidic)	C20:1_(11-Eicosenoic)	C20:2_(11,14-Eicosadienoic)	C20:3_(8,11,14-Eicosatrienoic)	C20:4_(Arachidonic)	C20:3_(11,14,17-Eicosatrienoic)	C22:0_(Bechenic)	C20:5_(5,8,11,14,17-Eicosapentaenoic)	C20:4 eicosatetraenoic	C24:1_(Nervonic)	C22:6_(Docosahexaenoic)
1	C.	0.029097704	0	0.012	0.012	0.164	0.288	0.03	12.85	1.964	0.828	0.79	17.524	13.465	4.926	0.252	20.809	0.382	0.5	0.169	1.58	0.465	0.539	0.932	35.302	0.153	0.546	0.562	1.307	8.353
2	C.	0.021992954	0	0.011	0.004	0.116	0.137	0.059	7.263	0.802	0.364	0.413	10.745	6.319	1.04	0.179	5.761	0.16	0.152	0.077	0.377	0.164	0.101	0.143	6.394	0.028	0.086	0.092	0.203	1.849
3	C.	0.032068966	0	0.019	0.031	0.221	0.408	0	20.981	3.132	0.917	1.13	24.204	20.74	5.197	0.791	21.887	0.954	0.569	0.215	1.869	0.751	0.579	0.34	21.574	0.089	0.268	0.681	1.184	5.03
4	C.	0.024410638	0.023	0.006	0.007	0.153	0.193	0.045	9.513	1.244	0.438	0.313	12.924	7.783	1.628	0.097	10.488	0.254	0.325	0.267	0.319	0.16	0.378	0.888	14.023	0.051	0.161	0.149	0.831	3.247
5	C.	0.029204866	0	0.006	0.015	0.119	0.132	0	8.732	1.134	0.389	0.383	12.617	7.848	1.991	0.096	11.547	0.238	0.296	0.109	0.667	0.174	0.33	0.542	19.353	0.061	0.156	0.242	0.666	4.772
6	C.	0.026271082	0	0.009	0.01	0.108	0.132	0.018	7.998	1.174	0.38	0.317	10.883	8.789	1.883	0.054	15.183	0.24	0.356	0.055	0.467	0.21	0.463	0.826	26.367	0.055	0.151	0.327	0.813	6.213
7	C.	0.026968197	0	0.008	0.015	0.112	0.123	0	7.755	0.818	0.322	0.317	10.275	5.788	1.311	0.187	4.921	0.257	0.11	0.232	0.402	0.116	0.174	0.23	5.474	0.021	0.084	0.041	0.307	1.413
8	C.	0.02616144	0.029	0.009	0.013	0.161	0.17	0.115	9.671	1.348	0.348	0.329	9.966	8.518	2.593	0.371	4.652	0.336	0.135	0.138	0.544	0.067	0.191	0.077	3.616	0	0.072	0.094	0.188	1.064
9	C.	0.032362255	0.011	0.007	0.008	0.096	0.112	0.046	6.714	0.911	0.295	0.268	9.849	5.975	1.412	0.1	9.189	0.201	0.231	0.083	0.292	0.13	0.321	0.369	14.343	0.023	0.127	0.18	0.454	3.334
10	C.	0.029581581	0	0.018	0.016	0.23	0.294	0	17.282	2.231	0.704	0.567	22.438	14.845	3.618	0.324	14.031	0.769	0.359	0.47	0.675	0.267	0.398	0.178	11.513	0.044	0.208	0.269	0.401	2.452
11	C.	0.029531626	0	0.008	0.014	0.191	0.206	0.053	9.139	1.52	0.35	0.218	8.946	9.027	2.069	0.163	8.945	0.414	0.347	0.132	0.368	0.151	0.347	0.252	6.356	0.023	0.155	0.091	0.414	2.126
12	C.	0.037356206	0	0.008	0.021	0.161	0.189	0	8.878	2.316	0.436	0.353	11.416	15.07	4.793	0.089	20.129	0.431	0.502	0.168	0.844	0.437	1.377	1.618	38.898	0.067	0.246	0.185	1.644	8.551
13	C.R.	0.031549677	0	0.009	0.011	0.17	0.252	0	12.998	1.383	0.737	0.661	19.017	10.684	4.402	0	25.787	0.445	0.451	0.129	1.067	0.597	1.182	1.1	57.566	0.137	0.171	0.523	2.054	11.911
14	C.R.	0.025195573	0.026	0.009	0.007	0.121	0.168	0.029	7.732	0.833	0.373	0.246	9.324	5.021	2.022	0.268	9.626	0.271	0.244	0.075	0.358	0.151	0.233	0.343	14.547	0	0.092	0.165	0.747	3.702
15	C.R.	0.030234807	0.007	0.008	0.009	0.122	0.162	0.034	7.712	1.156	0.382	0.462	8.342	9.033	2.281	0.199	13.863	0.295	0.411	0.104	0.436	0.204	0.237	0.36	16.804	0	0.128	0.229	0.384	3.897
16	C.R.	0.02101978	0.011	0.01	0.008	0.143	0.177	0.063	8.589	1.032	0.468	0.33	11.436	8.298	2.019	0.114	8.304	0.179	0.231	0.093	0.651	0.105	0.099	0.185	5.418	0	0.095	0.139	0.343	1.735
17	C.R.	0.023207547	0	0.01	0.006	0.154	0.242	0.035	11.713	1.561	0.669	0.46	15.724	15.781	2.941	0.063	30.168	0.6	0.899	0.079	0.775	0.331	0.617	1.036	43.847	0.087	0.291	0.608	1.602	10.794
18	C.R.	0.023965211	0	0.012	0.011	0.209	0.245	0.073	10.857	2.387	0.495	0.225	10.567	16.744	2.819	0.093	16.378	0.297	0.654	0.127	0.423	0.192	0.222	0.28	11.175	0.023	0.149	0.245	0.854	3.577
19	Low	0.031684164	0.011	0.009	0.009	0.108	0.118	0	8.083	0.932	0.387	0.176	14.049	7.217	1.51	0.071	8.618	0.267	0.119	0.08	0.315	0.239	0.729	0.949	22.804	0.044	0.119	0.193	0.924	4.931
20	Low	0.046171923	0	0.016	0.039	0.187	0.232	0	22.426	3.054	0.866	0.568	43.703	39.696	5.809	0.531	23.708	1.103	0.251	0.164	1.916	2.93	2.65	2.388	98.734	0.562	0.308	1.698	1.584	17.828
21	Low	0.036290538	0	0.007	0.019	0.102	0.126	0	11.931	1.441	0.388	0.319	18.14	18.232	2.999	0.153	22.791	0.548	0.217	0.102	1.086	0.814	2.441	0.841	48.141	0	0.114	0.472	0.901	9.52
22	Low	0.041791408	0	0.006	0.011	0.098	0.124	0	13.044	1.387	0.346	0.188	17.112	17.394	2.521	0.125	17.86	0.549	0.242	0.105	0.924	0.953	2.563	1.491	50.345	0.081	0.157	0.406	1.087	7.965
23	Low	0.039825728	0	0.009	0.007	0.078	0.103	0	7.868	0.823	0.246	0.23	9.443	5.555	1.816	0.06	4.665	0.135	0.054	0.057	0.298	0.206	0.349	0.539	15.285	0.02	0.042	0.076	0.342	2.009
24	Low	0.038961466	0.011	0.011	0.007	0.102	0.131	0.031	9.63	1.353	0.366	0.154	13.971	13.765	1.781	0.054	14.766	0.23	0.189	0.066	0.383	0.563	1.651	1.147	35.727	0.085	0.092	0.398	0.787	7.879
25	Low	0.035258602	0	0.015	0.01	0.113	0.166	0	10.822	0.837	0.522	0.412	16.052	7.724	2.374	0.26	6.545	0.551	0.087	0.114	0.671	0.187	0.377	0.147	11.09	0	0.074	0.146	0.608	2.556
27	Low	0.030118456	0	0.01	0.008	0.099	0.113	0.112	9.824	1.139	0.275	0.176	13.807	10.912	1.508	0.159	7.403	0.285	0.159	0.045	0.327	0.182	0.397	0.198	9.099	0.014	0.082	0.13	0.26	1.62
28	Low	0.037825612	0.009	0.01	0.003	0.097	0.094	0.102	8.038	1.015	0.278	0.146	11.711	11.045	1.708	0.102	7.285	0.175	0.157	0.086	0.303	0.15	0.352	0.285	8.355	0.018	0.069	0.085	0.159	1.642
29	Low	0.027396057	0.012	0.012	0.007	0.165	0.29	0.139	12.445	1.978	0.602	0.219	12.617	18.126	2.561	0.145	15.063	0.434	0.368	0.098	0.395	0.316	0.906	0.852	15.295	0.054	0.097	0.221	0.624	3.619
30	Low	0.033166498	0	0.007	0.02	0.085	0.108	0.063	9.052	0.81	0.314	0.15	11.786	13.078	1.851	0.134	9.424	0.341	0.126	0.078	0.384	0.28	0.861	0.351	15.035	0	0.045	0.12	0.293	2.283
31	Int. I.	0.043002561	0	0.01	0.007	0.079	0.075	0	7.88	1.146	0.197	0.086	10.506	10.323	1.538	0.055	8.605	0.235	0.095	0.056	0.409	1.311	1.547	0.863	29.267	0.056	0.075	0.412	0.546	5.459
32	Int. I.	0.049285542	0	0.009	0	0.085	0.095	0.029	8.074	0.981	0.274	0.127	10.537	16.279	1.515	0.079	9.242	0.296	0.11	0.063	0.378	0.415	1.026	0.433	19.097	0.039	0.074	0.227	0.316	2.596
33	Int. I.	0.034820841	0	0.021	0.045	0.097	0.171	0	15.966	1.304	0.618	0.218	22.11	18.539	2.544	0.23	21.318	1.122	0.218	0.07	1.561	1.002	2.679	1.31	63.061	0.123	0.173	0.723	1.048	10.197
34	Int. I.	0.038183369	0	0.01	0.008	0.091	0.093	0	8.765	1.037	0.23	0.114	10.385	12.312	1.627	0.046	10.927	0.231	0.141	0.051	0.563	0.567	1.595	1.423	33.311	0.06	0.078	0.298	0.841	6.301
35	Int. I.	0.047012571	0	0.009	0.005	0.075	0.095	0.027	8.756	0.892	0.247	0.085	10.001	10.996	1.203	0.054	7.64	0.185	0.08	0.065	0.227	0.748	0.806	0.565	18.932	0.031	0.075	0.187	0.293	3.068
36	Int. I.	0.034566	0	0.01	0.005	0.068	0.092	0.018	8.581	0.78	0.218	0.076	8.697	10.24	1.338	0.047	7.743	0.308	0.088	0.073	0.215	0.527	0.814	0.522	19.285	0.026	0.063	0.198	0.459	2.772
37	Int. I.	0.040969072	0	0.01	0.011	0.092	0.095	0	10.143	0.814	0.277	0.082	12.525	8.925	1.025	0.07	6.396	0.384	0.074	0.086	0.15	0.607	0.655	0.515	21.331	0.03	0.057	0.211	0.477	3.503
38	Int. I.	0.03454629	0	0.013	0.023	0.179	0.157	0	15.875	1.498	0.487	0.205	20.545	13.562	2.44	0.196	17.979	0.985	0.221	0.076	1.642	0.63	2.096	0.854	61.375	0.278	0.22	0.581	1.538	10.741
39	Int. I.	0.051994801	0	0.012	0.011	0.161	0.142	0.043	8.913	1.544	0.284	0.14	10.086	14.686	1.931	0.089	4.969	0.247	0.098	0.097	0.328	0.216	0.339	0.889	10.726	0.016	0.074	0.146	0.445	2.403
40	Int. I.	0.04494493	0.016	0.009	0.01	0.107	0.113	0	7.501	0.761	0.256	0.14	11.835	8.912	1.278	0.099	4.427	0.241	0.048	0.042	0.271	0.364	0.524	0.284	14.493	0.023	0.057	0.141	0.151	2.89
