name	weight	ranking	foldChange	higherIn	case1	case2	case3	control1	control2	control3
SF3B1	0.99906704216243	1	-0.236470472	control	0.283198634	0.27896994	0.405474972	0.443509247	0.650759237	0.173061082
PDIA2	0.998078594941955	2	-0.247818562	control	0.123381382	0.291498034	0.57227493	0.264566354	0.514119992	0.533702257
TGFBR2	0.994602559989464	3	0.221089433	case	0.986051067	0.724247034	0.477134352	0.888992345	0.867667063	0.03471835
PTPN4	0.993734842237702	4	0.153811157	case	0.254007851	0.482305289	0.626474424	0.299633699	0.076820255	0.804664425
ELOVL5	0.992795582450183	5	0.206224408	case	0.783265937	0.56033331	0.149057083	0.466424962	0.633731111	0.137305481
RAD54L2	0.992393933214707	6	-0.480921259	control	0.053831549	0.227653072	0.82687599	0.994609895	0.933791872	0.20684386
DCLRE1B	0.990495465712949	7	-0.020010516	control	0.999792564	0.480372228	0.596451742	0.218225617	0.922183822	0.978609764
KIF1BP	0.989806158451988	8	-0.170516797	control	0.75783871	0.986098096	0.084563201	0.704121891	0.625029679	0.875233039
HLA-C	0.989191958605462	9	-0.643316745	control	0.087468816	0.258096384	0.152921179	0.390028141	0.56584961	0.441682612
NAT8B	0.988636018671481	10	2.078648014	case	0.855346872	0.541518027	0.57996871	0.187270142	0.285175798	0.169665013
WDTC1	0.987430970242978	11	0.436338941	case	0.233373768	0.634579485	0.531648495	0.746014729	0.162872966	0.065535338
KLF9	0.987420465083663	12	0.243916842	case	0.806466804	0.385102277	0.711402626	0.213691491	0.827574415	0.488556381
MCM8	0.985284229676402	13	0.344492258	case	0.52410601	0.546452584	0.943299937	0.629811667	0.031878841	0.836167527
DLD	0.984044737989997	14	-0.087104662	control	0.137303658	0.901495619	0.399051233	0.159326723	0.627410343	0.788307139
PRMT7	0.983929045970749	15	0.10890421	case	0.715107032	0.547286634	0.084952216	0.169323948	0.931702776	0.113997865
SEMA3B	0.983923978038975	16	-0.414673405	control	0.216471396	0.158913526	0.836005825	0.444624971	0.897153534	0.72781949
PICK1	0.983300332487826	17	0.14772158	case	0.932468676	0.205181252	0.0316893	0.15661702	0.416765702	0.44545255
MARK1	0.982569292670047	18	0.412276134	case	0.611237131	0.162643016	0.984015743	0.095119229	0.278771471	0.87083464
BECN1	0.982048945374202	19	0.207393274	case	0.555307625	0.729321726	0.509110374	0.70149639	0.546363901	0.237769754
SMARCA4	0.979136144491202	20	-0.282481889	control	0.132285325	0.548471916	0.888566522	0.382277349	0.910464019	0.894414243
ACAA1	0.975956238113695	21	0.451799581	case	0.443016593	0.188389542	0.792023282	0.314698962	0.193143288	0.472616371
TNFRSF10B	0.974537629655931	22	-0.485668144	control	0.053597815	0.080280952	0.826101949	0.988430867	0.039869713	0.838161132
TUBA1A	0.973488582318938	23	2.615706879	case	0.63730629	0.782515779	0.791415147	0.433183081	0.036369767	0.142011444
TUBD1	0.972241315159768	24	0.764682837	case	0.260727351	0.481009536	0.63099958	0.474483941	0.274333396	0.02907682
HIST1H3F	0.970324158361631	25	-0.38081619	control	0.46910052	0.58446484	0.070954585	0.094893356	0.825291533	0.89594778
UBR3	0.96965829636015	26	-0.004681816	control	0.794589424	0.271452924	0.106421107	0.449426592	0.079722871	0.648829071
BEGAIN	0.968970008395478	27	-0.102501599	control	0.751929508	0.361920084	0.410840343	0.333581612	0.38668133	0.978558955
CYR61	0.966571912566926	28	-0.553406041	control	0.370485793	0.101662435	0.470518193	0.558875877	0.748918544	0.802996379
LEFTY2	0.965373531078622	29	1.514984066	case	0.987487575	0.564996093	0.618301778	0.339445804	0.376220283	0.147474747
