source	target	weight
A1BG	A2M	1
A1BG	ABCC6	1
A1BG	AKT1	1
A1BG	ANXA7	1
A1BG	CDKN1A	1
A1BG	CRISP3	1
A1BG	GDPD1	1
A1BG	GRB2	1
A1BG	GRB7	1
A1BG	HNF4A	1
A1BG	ONECUT1	1
A1BG	PIK3CA	1
A1BG	PIK3R1	1
A1BG	PRDX4	1
A1BG	PTPN11	1
A1BG	SETD7	1
A1BG	SMN1	1
A1BG	SMN2	1
A1BG	SNCA	1
A1BG	SOS1	1
A1BG	TK1	1
A1CF	ACBD3	1
A1CF	ACLY	1
A1CF	ATF2	1
A1CF	CELF2	1
A1CF	CTNNB1	1
A1CF	E2F3	1
A1CF	E2F4	1
A1CF	JUN	1
A1CF	KAT5	1
A1CF	KHSRP	1
A1CF	MBD2	1
A1CF	NRF1	1
A1CF	RBL2	1
A1CF	REL	1
A1CF	RUVBL2	1
A1CF	SDPR	1
A1CF	TAF1	1
A1CF	TNPO2	1
A1CF	TP63	1
A1CF	TRAF1	1
A2M	ACTB	1
A2M	ADAM19	1
A2M	ADAMTS1	1
A2M	ADAMTS12	1
A2M	ADAMTS7	1
A2M	ALPP	1
A2M	AMBP	1
A2M	ANXA6	1
A2M	ANXA7	1
A2M	AP1M2	1
A2M	APOA1	1
A2M	APOD	1
A2M	APOE	1
A2M	APP	1
A2M	ARL8B	1
A2M	ASAH1	1
A2M	ATF7IP	1
A2M	ATP1A1	1
A2M	ATP5A1	1
A2M	ATP5B	1
A2M	ATP6V0D1	1
A2M	ATP6V1A	1
A2M	ATP6V1B2	1
A2M	AZU1	1
A2M	B2M	1
A2M	BCL2L1	1
A2M	C11orf58	1
A2M	C11orf87	1
A2M	CAPN6	1
A2M	CDC37	1
A2M	CDC42	1
A2M	CDK11A	1
A2M	CDK2AP2	1
A2M	CDK7	1
A2M	CDKN1A	1
A2M	CELA1	1
A2M	CFTR	1
A2M	CKMT1A	1
A2M	CKMT1B	1
A2M	CPB2	1
A2M	CRP	1
A2M	CRTC2	1
A2M	CTSB	1
A2M	CTSE	1
A2M	CTSG	1
A2M	CYP11A1	1
A2M	CYP19A1	1
A2M	CYP2C18	1
A2M	CYP2C8	1
A2M	DDOST	1
A2M	DLST	1
A2M	DNAJB1	1
A2M	ECSIT	1
A2M	EGLN2	1
A2M	ELAVL3	1
A2M	ENO2	1
A2M	EVI5L	1
A2M	EXOSC1	1
A2M	FARSA	1
A2M	FBXL12	1
A2M	FBXO6	1
A2M	FBXW4	1
A2M	FIS1	1
A2M	GAPDH	1
A2M	GBA	1
A2M	GCDH	1
A2M	GDPD1	1
A2M	GEM	1
A2M	GLB1	1
A2M	GRB2	1
A2M	GUSB	1
A2M	H2AFX	1
A2M	HIPK1	1
A2M	HMOX2	1
A2M	HSPA5	1
A2M	HSPB2	1
A2M	HSPD1	1
A2M	IFIT3	1
A2M	IFIT5	1
A2M	IGSF8	1
A2M	IL10	1
A2M	IL1B	1
A2M	IL4	1
A2M	IL6ST	1
A2M	IRF1	1
A2M	JUNB	1
A2M	KLK13	1
A2M	KLK2	1
A2M	KLK3	1
A2M	KLK5	1
A2M	KLKB1	1
A2ML1	CEP152	1
A2ML1	GMCL1	1
A2ML1	NFKB1	1
A2M	LCAT	1
A2M	LEP	1
A2M	LONP1	1
A2M	LRP1	1
A2M	LUM	1
A2M	LYZ	1
A2M	MAOA	1
A2M	MAPK6	1
A2M	MAST1	1
A2M	MGEA5	1
A2M	MLST8	1
A2M	MMP1	1
A2M	MMP10	1
A2M	MMP11	1
A2M	MMP12	1
A2M	MMP13	1
A2M	MMP19	1
A2M	MMP2	1
A2M	MMP20	1
A2M	MMP3	1
A2M	MMP7	1
A2M	MMP8	1
A2M	MMP9	1
A2M	MPO	1
A2M	MYOC	1
A2M	NCDN	1
A2M	NGF	1
A2M	NOS3	1
