name	weight	ranking	higherIn	case1	case2	case3	control1	control2	control3
RXRA	0	502	case	0.999329479025719	0.140873797601841	0.919542206194465	0.300956742633309	0.206764149130446	0.94018128442575
CHEBI:10049	0	502	case	0.355407151267881	0.893474311740186	0.64199930552178	0.383884490005655	0.607363956107084	0.591463082475282
RPS14	0	502	case	0.397839124102705	0.494456347383399	0.763843764539584	0.766266219369973	0.0279932951713195	0.682892941698706
UGT2B15	0	502	case	0.333668180380295	0.0677854884858151	0.805510155575541	0.374175557582085	0.0668417611778476	0.0738510179919515
AKR1E2	0	502	case	0.936120177502068	0.288565308881261	0.469758776292843	0.646501755218381	0.0877717606376327	0.314456966367478
SLCO3A1	0	502	case	0.683188784699983	0.269046814753517	0.219061890891174	0.00360530450734453	0.332398561915436	0.809219837628967
TRIB2	0	502	case	0.962113795722863	0.594194175430363	0.922707906542724	0.282887905349612	0.526180895421029	0.461450605980961
RAB11FIP3	0	502	case	0.940336654420907	0.368311038073403	0.857543808780781	0.592074579603645	0.542899456586946	0.477595513339762
EID2B	0	502	case	0.610307030069875	0.938200405804263	0.878062942706618	0.988951251221728	0.521882381409282	0.175316539083581
CHEBI:16618	0	502	case	0.232981533413648	0.282840091614325	0.759193837349818	0.73587698636635	0.147111980322787	0.154801531119142
PICK1	0	502	case	0.932468675920979	0.205181251932987	0.0316893001122069	0.156617020109506	0.416765701751856	0.445452550042128
AHNAK	0	502	case	0.763262775333742	0.439134081593786	0.642339157082965	0.434647411424697	0.280292866619113	0.537621422723437
ANP32B	0	502	case	0.573463588604866	0.876184335960346	0.376409545450067	0.359909561454824	0.0364748567011317	0.834109708891139
C18orf54	0	502	case	0.792581664120226	0.610092246274455	0.212548379439868	0.0762380475474331	0.0636865030513627	0.99617230952962
CIITA	0	502	case	0.312386342019254	0.0538243021501204	0.489142450390656	0.13205467930969	0.170044626268754	0.199956952995643
TWISTNB	0	502	case	0.584523478528556	0.862187431116878	0.0128457468737627	0.699654848968811	0.371163798766144	0.0363292360197636
AKAP5	0	502	case	0.829914141021523	0.442934666053869	0.186612024812195	0.485904907517832	0.0397616226212385	0.188604065746608
DR1	0	502	case	0.402554392063122	0.566860831789241	0.838226076700295	0.101214538189656	0.641341360210975	0.628272342585065
RAN	0	502	case	0.862057298433146	0.680394991214306	0.14105696859946	0.201584327245249	0.174060860147872	0.364774751422131
RPS26	0	502	case	0.6147395502164	0.371378578093092	0.73221698741175	0.13474601073799	0.0621519426336853	0.636558009588955
CHEBI:17489	0	502	case	0.991187788329793	0.078228709185685	0.691066915983427	0.323789153997764	0.406659420297776	0.891293458108173
GALK1	0	502	case	0.827209084946655	0.0478438001602993	0.48885726360846	0.532130560615834	0.202674299437306	0.286359337940548
NHSL1	0	502	case	0.675861618952774	0.73825699202679	0.971390410156509	0.24768570993469	0.869549890049143	0.125419176245427
PTPRE	0	502	case	0.475785626569533	0.954244324359415	0.743213774200817	0.669087783169736	0.0230135370914409	0.820766361991123
CHEBI:58090	0	502	case	0.399075226726792	0.742372334463615	0.638541371339421	0.547695710952879	0.899426437101584	0.299775460104113
PAPSS1	0	502	case	0.599438249091412	0.937449567040729	0.594182912969943	0.609054494316718	0.452946115671495	0.787678917413547
NQO1	0	502	case	0.800522765803851	0.513363986157654	0.49862251273625	0.863134760252027	0.0580261764965854	0.437012573040754
CREM	0	502	case	0.430069462615833	0.356705749924566	0.561335047322794	0.339706962070075	0.0269444844838657	0.0959658384301467
CHEBI:28666	0	502	case	0.700824730771237	0.110048497112667	0.930775859048123	0.377547669768167	0.463776233943276	0.0584430934125807
PSMG1	0	502	case	0.74246975698728	0.597045229614403	0.977769157702234	0.972604932176721	0.0990172329213107	0.123318151074745
HOXD12	0	502	case	0.389128763569227	0.73071801732159	0.661734944417943	0.338236165549055	0.325875094193265	0.370104345713866
UBL4A	0	502	case	0.572971367270484	0.450963489291171	0.356256342496277	0.850706460713442	0.0748443075998355	0.301704811674572
KIAA0391	0	502	case	0.849722054218674	0.640074510267742	0.47557844163322	0.256791917068097	0.0573426693754819	0.607461688382013
CEPT1	0	502	case	0.276345316298223	0.132038817368816	0.671022018283348	0.285495500891502	0.300956435005654	0.461972243165118
CHEBI:15473	0	502	case	0.62232361515245	0.452822429824052	0.959645196993795	0.779946910428948	0.521721248782275	0.29259269105507
SLC29A4	0	502	case	0.963468465806992	0.826998331558064	0.797742459847051	0.492511776265171	0.241554770085929	0.570525957373189
SDSL	0	502	case	0.500498891603951	0.402363579005054	0.912196754252076	0.476161494330651	0.825734269699093	0.266311690876462
CHEBI:17924	0	502	case	0.88438893850986	0.759831815719588	0.504128180597837	0.768772875919031	0.23442349639393	0.492368811109359
CHEBI:60625	0	502	case	0.303851622777652	0.936683610022334	0.905483216847227	0.857890771063757	0.614671003416509	0.33065054115953
PTPN6	0	502	case	0.483294567734286	0.860190240827037	0.965257748969727	0.904728919137344	0.469650371915958	0.901215142217029
PSTPIP1	0	502	case	0.337812043871024	0.397228260437835	0.628267352552455	0.29201988504298	0.577780697646748	0.000365623763305734
LEFTY2	0	502	case	0.987487575189353	0.56499609309486	0.618301778328654	0.339445804371305	0.376220283460707	0.147474747267827
ATXN2L	0	502	case	0.159047554722395	0.489619389546545	0.383020104064703	0.272681226854142	0.228764772549632	0.314992086852311
AR	0	502	case	0.236879783226055	0.269811632673816	0.991193747568799	0.170274589896562	0.423524871222756	0.171375458208079
IPO11	0	502	case	0.70223663266789	0.989740142062215	0.286827284759212	0.664018225811431	0.273596220894793	0.592906936782863
TOR1A	0	502	case	0.973704902674984	0.861656724924023	0.535205897505445	0.829109418219232	0.627515046901424	0.348962692898616
CDK15	0	502	case	0.972305555688457	0.0326325721064562	0.193211038592101	0.26736208064657	0.534641253536576	0.053693447435528
LFNG	0	502	case	0.643698049421405	0.331958019586653	0.689435100924171	0.176155780622799	0.385442159974304	0.0471680310748598
GOT2	0	502	case	0.860098876854161	0.748746995782957	0.0504550031686729	0.431186366407187	0.873450099080692	0.0558578091685061
ACBD7	0	502	case	0.401883398008086	0.644366458181644	0.184434115699354	0.475655037798496	0.300348734897046	0.071511995620654
CHEBI:16039	0	502	case	0.98523663941483	0.952205100722434	0.885041502041251	0.130651597357995	0.517723514394718	0.973679007254639
RPL24	0	502	case	0.559477405987275	0.543270235392249	0.839794385798114	0.0513557326803022	0.0618247144123362	0.73479672093121
INHBE	0	502	case	0.720343206000748	0.578572309853611	0.410414853697837	0.0290875518506981	0.118485991561029	0.0333136081311348
CHEBI:16225	0	502	case	0.484038516812342	0.915476599033373	0.12022858999065	0.136194609644932	0.0987800358735031	0.117606117130326
MFN2	0	502	case	0.63903109268123	0.895596526144395	0.572092522260723	0.694555598689595	0.890275455546976	0.261303269881319
CHEBI:50091	0	502	case	0.887636865889604	0.482506617380039	0.949390134629152	0.515678957454232	0.0333890773864002	0.893358001913081
PRPS1L1	0	502	case	0.992175302495305	0.0553137719816675	0.349808041044371	0.793686029689862	0.113716441044558	0.346786263254747
GAS2L3	0	502	case	0.402351616935948	0.753791773408712	0.20852237389343	0.501867087038036	0.49044565696202	0.292302135568305
BCHE	0	502	case	0.658856481072931	0.131947479760919	0.665827160044803	0.276632057868203	0.599441720175534	0.187247407159404
CHEBI:28955	0	502	case	0.901348123034512	0.355922119083384	0.97334470672087	0.119664941102955	0.0902161331201864	0.74314833631864
ZCCHC11	0	502	case	0.618091239046974	0.288070643822235	0.231278078105778	0.0905901520413662	0.262829072110785	0.655473475980963
FUS	0	502	case	0.961964657805326	0.488379635024966	0.901756316713514	0.18245093620079	0.328975305064346	0.862900425221566
CALCOCO2	0	502	case	0.746105469418888	0.729036115345013	0.793291699901326	0.0316876620019078	0.941300531148415	0.785352871833154
ABCC12	0	502	case	0.52331331841201	0.216276205436509	0.832054705376542	0.144158809946439	0.95711016517866	0.347821246965429
RAX	0	502	case	0.259894281484397	0.97633451477942	0.753834556589773	0.635926816608026	0.510824964684785	0.0553885502592265
SDF2L1	0	502	case	0.961993766916173	0.593235792436551	0.621863097261786	0.789847558684815	0.564579859307507	0.819441442588722
BCL2L1	0	502	case	0.0302701634197687	0.967702883195329	0.359277961450212	0.377413923888473	0.770983940011353	0.00607404653196786
ELF4	0	502	case	0.696314463411127	0.895969830651651	0.0888524608922825	0.821586115511533	0.313801920872552	0.275042352548372
FGD6	0	502	case	0.890036233228213	0.711763763315268	0.460547461088786	0.78497989138293	0.812943969672552	0.385658394829595
TESK1	0	502	case	0.330202242514021	0.867726788909873	0.64545237343559	0.503736437057276	0.412073277714361	0.856946289582242
SOGA1	0	502	case	0.651997167217003	0.516432410448888	0.589817489604743	0.222223462665215	0.604388896137601	0.822906498290483
LRRC25	0	502	case	0.0661601245983268	0.00750740409328399	0.187172070539839	0.0836087173480035	0.0948035564584498	0.0104994319560711
KDM7A	0	502	case	0.275431379860917	0.688933363588118	0.611330146637951	0.0737015537421595	0.335981277769252	0.141616734678351
SLC4A1	0	502	case	0.880066259726056	0.873536456464217	0.575726948453721	0.817677026694343	0.244880529743163	0.580618433453006
CTSL	0	502	case	0.755914120907961	0.35456934119252	0.499725973621345	0.758248787177962	0.270319612046424	0.438866965577127
ELOVL5	0	502	case	0.783265937404036	0.560333309840618	0.149057083245688	0.466424962099562	0.633731111043642	0.137305480611584
CHEBI:30860	0	502	case	0.978563885159978	0.300809090660725	0.756669787984348	0.422568083677206	0.208514026718345	0.360044666230198
CHEBI:17202	0	502	case	0.0506464976705434	0.795641626726704	0.29355559441744	0.00131439798824418	0.745709470805585	0.0413357256847293
AP2S1	0	502	case	0.63020512499975	0.054297353899977	0.82889374505677	0.346470554408469	0.564883170177399	0.313814877315829
TAS2R4	0	502	case	0.230299163777674	0.708704616979225	0.841776581954761	0.557503053109067	0.217689898943781	0.945982651440048
TRAPPC3	0	502	case	0.579884973281289	0.992928441303996	0.665238451557799	0.299784702501575	0.857763286845635	0.854503454518775
HBEGF	0	502	case	0.603156320439897	0.162476485189887	0.960139975886254	0.159072822525737	0.861999317827353	0.173531117920384
HAL	0	502	case	0.599879095832857	0.113566338672047	0.943117892210703	0.665256285872595	0.313302194836426	0.535883588923296
CORO1C	0	502	case	0.448427880383915	0.912875425886543	0.112699492380728	0.684202783274851	0.326984211497351	0.294889205964141
DEGS2	0	502	case	0.513814835038277	0.851805952008354	0.48080405167944	0.348624437659894	0.492532786265149	0.0813874092956911
CARS	0	502	case	0.407730161772637	0.809913803104205	0.0665206919491224	0.250074733353068	0.0519024840881931	0.787474899998168
C11orf87	0	502	case	0.805404317007998	0.77723242923451	0.262457464904029	0.288238633424684	0.366939952046648	0.216132109524524
ARL8A	0	502	case	0.459642010111367	0.331997486961156	0.7656981256747	0.595707147578878	0.285814782532667	0.232068379506165
CHEBI:29184	0	502	case	0.95853359612901	0.173883139944506	0.652915682156136	0.0685361446160678	0.656849259385463	0.874840378958323
CUTA	0	502	case	0.790045356979438	0.625636394848839	0.381489065282516	0.218043374944113	0.231886625099597	0.460142548060862
ACP7	0	502	case	0.333428186460866	0.750985384525444	0.340139555506767	0.414217854149326	0.0751237673533113	0.46494127608993
NEDD4L	0	502	case	0.506794524055503	0.143950800246145	0.442496952598123	0.247886007622878	0.383715179754413	0.301074526079261
PNPLA7	0	502	case	0.199925413139355	0.850607655245249	0.454185819615522	0.554425288853058	0.0305697733414173	0.236005206878626
CHEBI:64628	0	502	case	0.3683508416288	0.801911968617498	0.0198754228247094	0.0218332495144079	0.504616246876344	0.185474577732799
PPP6C	0	502	case	0.941817795239884	0.497408284738571	0.34176488323731	0.393103434605689	0.00791083757342614	0.15149857398175
PALM2	0	502	case	0.829055908778801	0.870912524621325	0.342803701519393	0.204216921394176	0.410704795653201	0.992749903551154
CHEBI:17151	0	502	case	0.626590974955276	0.722843568666448	0.618806404154405	0.66227946721661	0.732365747785734	0.390081439337444
GTF3A	0	502	case	0.294302626846237	0.984532354863445	0.493299255574885	0.119863491132223	0.701901080171244	0.237551305568045
FIBP	0	502	case	0.17991487850424	0.885924447669938	0.70177394525353	0.518969763416861	0.565460937121375	0.43428515858871
FXYD3	0	502	case	0.92629426819795	0.213837003113112	0.88780260142949	0.821974811688185	0.584736351923449	0.0250621847512497
SARNP	0	502	case	0.651269264764942	0.473710749132909	0.764070891236327	0.966605245331986	0.00151393336675809	0.57175164244331
RMI1	0.224927299990031	1	case	0.864622012533553	0.951197090728795	0.98795894159784	0.0673441884719516	0.562000852140945	0.611663217389069
