name	weight	ranking	higherIn	case1	case2	case3	control1	control2	control3
FBP1	0	502	control	0.0470777095488339	0.465820073116048	0.105320182975915	0.650748947230908	0.347630325692841	0.000808618205962341
TMEM19	0	502	control	0.213660585120799	0.560856738133542	0.268160913711683	0.817370524039485	0.717737067921327	0.90300644629573
NRTN	0	502	control	0.229602531968198	0.897646542373691	0.104252997601917	0.18986247780247	0.927064140870894	0.996384162337222
PARP10	0	502	control	0.437973177632798	0.475879024056308	0.320322632016148	0.638600594751137	0.246642124058313	0.587141467074297
PRRC2C	0	502	control	0.00583432457237087	0.6556110904965	0.259846667655122	0.325289204685754	0.780867850604077	0.55245363212413
NRDC	0	502	control	0.80107575696612	0.620425185783994	0.188267616829231	0.123235846277873	0.931949933886006	0.587244869016264
CHEBI:58225	0	502	control	0.826449539702682	0.0272502196608165	0.566870912760646	0.832243218102738	0.598100317141488	0.46190011497577
SHCBP1	0	502	control	0.329041195839248	0.203592380287419	0.792156839532589	0.556925545740794	0.322882505170559	0.972244273128648
PDK1	0	502	control	0.223461976125853	0.519916824790401	0.145443480124611	0.273930224222276	0.0983785303848749	0.745929372627335
FTSJ1	0	502	control	0.290462491547268	0.548009157335658	0.48523045694977	0.182716250813704	0.709240953533567	0.577547348622185
HERC2	0	502	control	0.203698875185622	0.456350723650029	0.0344926197846326	0.950545048096336	0.463062925909165	0.25351820745369
PIK3R1	0	502	control	0.248949470039808	0.0380015353959609	0.112451379350698	0.437276253172887	0.597940369107138	0.528573772748323
CHEBI:16094	0	502	control	0.105068771291171	0.240904799077728	0.567852659287788	0.380695949821835	0.106269376654518	0.550539716147499
CCNE2	0	502	control	0.821442194126392	0.259965278716868	0.426504251336355	0.748955615477151	0.998425291506397	0.986114473782701
HIST2H3D	0	502	control	0.841086330045423	0.758974161342075	0.07623944235383	0.156696797557896	0.86632740366717	0.689780984124998
UBXN11	0	502	control	0.354506244400439	0.993342763841508	0.290586653457929	0.0581238178949717	0.615205796593277	0.970136776630278
MAP4	0	502	control	0.572239218412685	0.75285784110301	0.63333346832172	0.817176415224338	0.322522635620462	0.898092237410388
CHEBI:41865	0	502	control	0.757884150620785	0.430595200320603	0.0935965460059537	0.605318590650978	0.570988144269953	0.630725743368396
PEG10	0	502	control	0.429302484999837	0.261176170571255	0.602772899485439	0.927983722291575	0.450492336647337	0.319572273729759
TADA3	0	502	control	0.956344657500659	0.0948076815835639	0.473817863220927	0.898424694301282	0.577843795117458	0.795694331193399
CHEBI:45441	0	502	control	0.588361684613539	0.652199598948144	0.0890842655064104	0.701395228244418	0.561880235062444	0.832418956424072
CHEBI:4047	0	502	control	0.085902694967251	0.308076908420212	0.590775746140886	0.967667748479233	0.912720162652781	0.0705081138567619
CHEBI:33995	0	502	control	0.521589676498055	0.884231316046448	0.101129318887619	0.994905517152424	0.444545883918906	0.170874830762596
TNNI2	0	502	control	0.0901660021689635	0.700579510055142	0.293294642967131	0.490578621847789	0.982062563214574	0.560307422031177
CUX1	0	502	control	0.904666479690125	0.241872295147587	0.0515882053839337	0.503453396492993	0.578267561462169	0.202090504074273
CHEBI:36528	0	502	control	0.43898966680559	0.29092573719343	0.768375751898677	0.388084482070887	0.810590442462569	0.729367419628283
MSH5	0	502	control	0.781722612917166	0.277438718955492	0.282985376214109	0.453259259537158	0.451274164510932	0.954996382288605
GPX6	0	502	control	0.148465022943408	0.00610780302659897	0.225360245794357	0.132853968150371	0.249969169410276	0.762368339977811
CYB5D1	0	502	control	0.619815927260871	0.374711141145558	0.331289642625589	0.758506328245576	0.955437531793689	0.0800681389349021
SKAP1	0	502	control	0.260623679394421	0.436932780731988	0.453251351408243	0.56523693408585	0.142650346985794	0.938246224630109
MAP2	0	502	control	0.445656211439575	0.304298468841678	0.7373846381813	0.648636599114185	0.512563384780399	0.974473843479017
KIAA1522	0	502	control	0.843999511474936	0.290860330609039	0.509885654703147	0.798058063124077	0.971925137586938	0.607110428021082
TLN2	0	502	control	0.196204918731252	0.242516308885001	0.382514191853397	0.220448242881705	0.648320621265659	0.957494958695934
DOK2	0	502	control	0.798485829521549	0.479419104358615	0.132031170054907	0.725869758147902	0.911313227169849	0.483280019453646
RER1	0	502	control	0.375471662697547	0.183675696266124	0.706191429589364	0.535851657583605	0.444565843866667	0.6576080119545
COX5B	0	502	control	0.631930797977457	0.169237962651665	0.0456583234773829	0.78522090790695	0.400029715619638	0.0156755449546512
CHEBI:86102	0	502	control	0.933591915842209	0.251413476155819	0.118155245153682	0.627506476971335	0.231367220579307	0.752385614736353
NOC4L	0	502	control	0.198736750098921	0.442739977763735	0.25638515979688	0.542582420314772	0.839034991901461	0.972061137678921
PCDHA2	0	502	control	0.39536627395521	0.311754952248308	0.989865435151316	0.808483508969732	0.507266724816296	0.994073886211684
TH	0	502	control	0.995381776517886	0.395870964014701	0.622699821538518	0.886597760157759	0.978224034127668	0.718018722684615
CHEBI:15534	0	502	control	0.65316328109469	0.885521227489635	0.0635378925573686	0.970288991112123	0.653018772578069	0.188894725512381
SFXN1	0	502	control	0.108436427855515	0.0212395486219491	0.373509533241305	0.942526312878199	0.4611321265498	0.43393780460202
ITGBL1	0	502	control	0.036114030795356	0.844080719207746	0.166251535436548	0.638128132512361	0.863758110483555	0.0455931354331871
B3GALT1	0	502	control	0.567144361897996	0.250342882536472	0.0522086332938522	0.07470811489881	0.82396294284602	0.781042208904641
UBE2A	0	502	control	0.662516098435082	0.202616096163795	0.373014324844645	0.724936308045872	0.244108071013869	0.433492302723436
SORBS2	0	502	control	0.54020403751352	0.304403578093467	0.394093180849151	0.566253126608988	0.993716131600963	0.106040338209226
CHEBI:46245	0	502	control	0.519716157920878	0.19002547679228	0.341677003639647	0.304880829506504	0.0578726248164741	0.942771304822948
RPRM	0	502	control	0.0590305556644841	0.0017993238791566	0.548670594067366	0.319373097536832	0.0440737918191335	0.674259328016191
CHEBI:17123	0	502	control	0.22970119787112	0.118307909837995	0.513520841267514	0.260996731933566	0.384163168822831	0.674824887935709
CHEBI:50116	0	502	control	0.113948641995189	0.0390229767276427	0.814426468563278	0.732475524156582	0.523126532390386	0.608096918089583
CHEBI:121724	0	502	control	0.310922713453606	0.598194525429778	0.0971832059869966	0.162949965018604	0.892148966891949	0.439425837023674
CENPK	0	502	control	0.228432322135737	0.604313505631328	0.463713560645511	0.921075222102221	0.405920640599473	0.961285202895325
CHEBI:11563	0	502	control	0.281820237560867	0.946020375394758	0.051941981368346	0.769551657662049	0.144841838461304	0.482809835482827
MT-ND4	0	502	control	0.444330358699235	0.113276452523982	0.842344701828773	0.7404255352805	0.37897165848807	0.292988963991134
HSF5	0	502	control	0.603296375815348	0.241936830626701	0.439024887659214	0.961194980110539	0.215599299506781	0.398265186954992
ATXN10	0	502	control	0.113930638678426	0.612727107549884	0.0282794508957929	0.786996488000829	0.799715570149051	0.952761708644887
CD37	0	502	control	0.848596675479549	0.798141714195157	0.79610623594284	0.943729958429594	0.896256192163473	0.836977407273554
ZDHHC21	0	502	control	0.466201833790636	0.781092265910387	0.115206746018031	0.981267907154657	0.536385807038486	0.423830588052359
FABP4	0	502	control	0.325653274948034	0.3510984324146	0.375091630987986	0.570194182308453	0.969965194019504	0.0756379701383665
TAF5L	0	502	control	0.0354234606827885	0.481656980372555	0.648287449225586	0.792409362348291	0.840013404018371	0.902872154222318
RBM47	0	502	control	0.108046036615559	0.18675954426984	0.897771225532002	0.345003385293862	0.778018368946308	0.174408494450077
DYNLRB1	0	502	control	0.459875628942314	0.247199856745663	0.497230128936991	0.328632592865502	0.426672385823044	0.719987951742843
CHEBI:31882	0	502	control	0.45088275367583	0.0541888413672694	0.771303428858631	0.927485532892117	0.279961881386735	0.232006661228245
EME2	0	502	control	0.551140335804419	0.608961456453878	0.0603622294239692	0.756072432453704	0.333508011813132	0.207137482800106
CDK9	0	502	control	0.700850072786061	0.511064089112722	0.651069368702479	0.606179876148598	0.794792410212092	0.976670544960923
TPH1	0	502	control	0.872235503921598	0.0277500884482718	0.133603910449774	0.766029364237188	0.0386907855675434	0.381849006378176
TSTD2	0	502	control	0.052192152428901	0.990385281566876	0.638545736824786	0.846152344274838	0.726669335495522	0.635288896447045
LIMS1	0	502	control	0.219681311405346	0.500939923753605	0.384943094967874	0.901981191878953	0.872684459300564	0.0465640390505186
SDF4	0	502	control	0.451874609042501	0.575134832806326	0.300018582740438	0.869408491537521	0.621953941544503	0.00306357415717695
AMPD3	0	502	control	0.0590953126800806	0.153518799776586	0.918926536712417	0.661209152001318	0.966755875499731	0.82407189316069
CHEBI:16320	0	502	control	0.740905302893588	0.356787196602359	0.456266813303239	0.783484840322146	0.609969956623824	0.871885571701645
NDUFS2	0	502	control	0.427193551101288	0.33786974030834	0.94528200918664	0.229585395135581	0.85756558681509	0.831578262729024
