"ID"	"Description"	"GeneRatio"	"BgRatio"	"pValue"	"pAdjust"	"qValue"	"geneID"	"Count"	"subontology"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"35/756"	"275/16655"	3.49147053691847e-08	0.000157046344750593	0.000146899028800664	"AR/CDK9/COX5A/COX5B/CREBBP/DDIT4/E2F3/ERCC2/ERCC3/ESR2/GTF2F2/GTF2H1/MED16/MED17/MED20/MEN1/MLST8/NEDD4L/NR1D2/NR1H2/NR2F1/POLR2C/POLR2L/PRDX1/PRKAG3/RPTOR/RXRA/SCO2/SMAD2/TAF10/TAF3/THRB/TXN/UBB/UBE2D3"	35	"BP"
"GO:0006352"	"DNA-templated transcription, initiation"	"37/756"	"317/16655"	1.37696332912824e-07	0.000309679052720942	0.000289669601396084	"AR/CDK9/COX5A/COX5B/CREBBP/DDIT4/E2F3/ERCC2/ERCC3/ESR2/GTF2F2/GTF2H1/MED16/MED17/MED20/MEN1/MLST8/NEDD4L/NR1D2/NR1H2/NR2F1/POLR1E/POLR2C/POLR2L/PRDX1/PRKAG3/RPTOR/RXRA/SCO2/SMAD2/TAF10/TAF3/THRB/TWISTNB/TXN/UBB/UBE2D3"	37	"BP"
"GO:0009161"	"ribonucleoside monophosphate metabolic process"	"30/756"	"256/16655"	1.92689219137704e-06	0.00288905369227131	0.00270238178559089	"AK4/AMPD1/AMPD3/APRT/ATIC/ATP5G3/COX5A/DDIT4/DHODH/DLD/DLG4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/PDE6B/PFKM/PGAM2/PPAT/PPIF/PRPS1L1/TEFM"	30	"BP"
"GO:0009123"	"nucleoside monophosphate metabolic process"	"30/756"	"268/16655"	4.93045824209827e-06	0.00461068874952646	0.00431277595465991	"AK4/AMPD1/AMPD3/APRT/ATIC/ATP5G3/COX5A/DDIT4/DHODH/DLD/DLG4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/PDE6B/PFKM/PGAM2/PPAT/PPIF/PRPS1L1/TEFM"	30	"BP"
"GO:0009167"	"purine ribonucleoside monophosphate metabolic process"	"28/756"	"244/16655"	6.31713198427727e-06	0.00461068874952646	0.00431277595465991	"AK4/AMPD1/AMPD3/APRT/ATIC/ATP5G3/COX5A/DDIT4/DLD/DLG4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/PDE6B/PFKM/PGAM2/PPAT/PPIF/TEFM"	28	"BP"
"GO:0009126"	"purine nucleoside monophosphate metabolic process"	"28/756"	"245/16655"	6.83190255754889e-06	0.00461068874952646	0.00431277595465991	"AK4/AMPD1/AMPD3/APRT/ATIC/ATP5G3/COX5A/DDIT4/DLD/DLG4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/PDE6B/PFKM/PGAM2/PPAT/PPIF/TEFM"	28	"BP"
"GO:1901657"	"glycosyl compound metabolic process"	"38/756"	"388/16655"	7.17537155328707e-06	0.00461068874952646	0.00431277595465991	"AHCYL2/AK4/AMD1/AMPD3/APOBEC3C/APRT/ATIC/ATP5G3/COX5A/DDIT4/DHODH/DLD/DLG4/ENTPD4/FBP1/FUCA1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MACROD1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/NME6/OARD1/PAPSS1/PDE6B/PFKM/PGAM2/PPAT/PPIF/TEFM/TH"	38	"BP"
"GO:1903900"	"regulation of viral life cycle"	"23/756"	"186/16655"	1.24436831571738e-05	0.00699646085512095	0.00654439494463468	"ADARB1/APOBEC3C/CDK9/EIF2AK2/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/OAS1/PARP10/POLR2C/POLR2L/RAD23A/RSAD2/SMARCA4/SUPT5H/TRIM14/TRIM15/TRIM21/TRIM25/TRIM8/VAPA"	23	"BP"
"GO:0009116"	"nucleoside metabolic process"	"36/756"	"370/16655"	1.43758559370807e-05	0.00718473333388766	0.00672050247725281	"AHCYL2/AK4/AMD1/AMPD3/APOBEC3C/APRT/ATIC/ATP5G3/COX5A/DDIT4/DHODH/DLD/DLG4/ENTPD4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MACROD1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/NME6/OARD1/PAPSS1/PDE6B/PFKM/PGAM2/PPAT/PPIF/TEFM"	36	"BP"
"GO:0019058"	"viral life cycle"	"41/756"	"448/16655"	1.62922995396343e-05	0.0073282763329275	0.00685477065893876	"ADARB1/APOBEC3C/CDK9/CHMP1A/DDX39B/DPP4/EIF2AK2/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/HTR2A/NEDD4L/NUP98/OAS1/PARP10/POLR2C/POLR2L/RAD23A/RAN/RPL23A/RPL24/RPL30/RPL36A/RPL37A/RPS14/RPS26/RSAD2/SMARCA4/SUPT5H/TNFRSF14/TRIM14/TRIM15/TRIM21/TRIM25/TRIM8/UBB/USP6NL/UVRAG/VAPA"	41	"BP"
"GO:0030522"	"intracellular receptor signaling pathway"	"31/756"	"301/16655"	1.86558716418632e-05	0.00762855551319095	0.00713564774665331	"ALOX15B/ANKRD17/AR/BCL2L1/BRCA1/CARM1/CCNE1/CREM/CRY2/DDX58/DDX60/ESR2/MED16/MED17/NCOA2/NCOA3/NODAL/NR1D2/NR1H2/NR2F1/PLIN5/PSTPIP1/RAN/RXRA/SMARCA4/TADA3/THRB/TRIM15/TXN/UBB/XIAP"	31	"BP"
"GO:0006665"	"sphingolipid metabolic process"	"19/756"	"144/16655"	2.81367945027944e-05	0.0105466084727974	0.0098651550550587	"ACER2/CREM/CYR61/DEGS2/ENPP7/GAL3ST1/GBA/GLA/HACD2/NEU2/PLPP2/PRKD1/SGMS2/SGPL1/SMPD2/ST8SIA3/ST8SIA6/TH/VAPA"	19	"BP"
"GO:0030148"	"sphingolipid biosynthetic process"	"14/756"	"87/16655"	3.47572056211653e-05	0.0119397093153938	0.0111682427590342	"ACER2/CYR61/DEGS2/GAL3ST1/GBA/HACD2/PLPP2/PRKD1/SGMS2/SGPL1/SMPD2/ST8SIA3/ST8SIA6/VAPA"	14	"BP"
"GO:0050792"	"regulation of viral process"	"23/756"	"199/16655"	3.71622788829508e-05	0.0119397093153938	0.0111682427590342	"ADARB1/APOBEC3C/CDK9/EIF2AK2/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/OAS1/PARP10/POLR2C/POLR2L/RAD23A/RSAD2/SMARCA4/SUPT5H/TRIM14/TRIM15/TRIM21/TRIM25/TRIM8/VAPA"	23	"BP"
"GO:0042278"	"purine nucleoside metabolic process"	"31/756"	"321/16655"	6.42320581276663e-05	0.0192610531638829	0.018016528865704	"AHCYL2/AK4/AMD1/AMPD3/APRT/ATP5G3/COX5A/DDIT4/DLD/DLG4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MACROD1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/NME6/OARD1/PAPSS1/PDE6B/PFKM/PGAM2/PPIF/TEFM"	31	"BP"
"GO:0006144"	"purine nucleobase metabolic process"	"9/756"	"42/16655"	9.02046408199557e-05	0.0253587796505101	0.0237202598261423	"AMPD1/AMPD3/APRT/ATIC/GDA/GMPR2/GPX1/IMPDH1/PPAT"	9	"BP"
"GO:0043902"	"positive regulation of multi-organism process"	"20/756"	"172/16655"	0.00010779679892343	0.0285217647975051	0.0266788733929999	"ADARB1/ANKRD17/CDK9/DDX60/ERCC2/ERCC3/GTF2F2/GTF2H1/LY96/PLAU/PLCB1/POLR2C/POLR2L/PTAFR/RAD23A/SMARCA4/SUPT5H/TRIM15/TRIM21/VAPA"	20	"BP"
